"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-04,373,monthly,257017,366712,310210,305215,252146,2006-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-05,454,monthly,260893,373237,315070,310078,255922,2006-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-06,566,monthly,264657,376308,318226,314010,259675,2006-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-07,491,monthly,263997,374997,318061,314759,258881,2006-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-08,509,monthly,269271,383152,325483,322904,263870,2006-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-09,427,monthly,274664,394396,333285,329886,269093,2006-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-10,445,monthly,277913,398172,336326,332726,272383,2006-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-11,480,monthly,281320,403314,340843,336402,275758,2006-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2006-12,436,monthly,285825,407769,345866,342116,280147,2006-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-01,379,monthly,290342,414825,352221,348369,284490,2007-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-02,365,monthly,291472,414563,352495,348527,285713,2007-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-03,486,monthly,294287,419273,356944,353159,288350,2007-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-04,432,monthly,301023,427853,364813,362456,294845,2007-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-05,468,monthly,311269,441288,376408,375086,304859,2007-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-06,490,monthly,317125,448137,382556,381915,310621,2007-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-07,531,monthly,323951,458757,390593,389451,317369,2007-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-08,456,monthly,329771,472400,400070,399071,322815,2007-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-09,503,monthly,330249,473810,401479,399931,323251,2007-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-10,450,monthly,332518,477682,403152,401542,325582,2007-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-11,461,monthly,328072,469302,396665,394489,321389,2007-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2007-12,384,monthly,332792,476534,401178,398898,326134,2007-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-01,272,monthly,330037,474173,398154,395663,323425,2008-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-02,248,monthly,339006,489313,409685,406356,332213,2008-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-03,276,monthly,347056,504569,421155,417111,340000,2008-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-04,215,monthly,352383,516090,429319,425082,345076,2008-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-05,262,monthly,351537,513432,427733,425187,344167,2008-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-06,275,monthly,337728,489725,409799,408710,330645,2008-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-07,199,monthly,330901,475785,400380,400352,323986,2008-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-08,253,monthly,324404,463992,392893,392935,317592,2008-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-09,149,monthly,319748,460862,385806,385884,313148,2008-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-10,144,monthly,317148,454784,380379,380535,310796,2008-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-11,106,monthly,294563,422230,351402,351814,288805,2008-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2008-12,130,monthly,281013,401258,336895,337201,275388,2008-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-01,108,monthly,275970,398470,332019,331186,270425,2009-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-02,121,monthly,284328,410967,341736,340884,278639,2009-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-03,149,monthly,290583,418539,347139,346379,284941,2009-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-04,115,monthly,282032,400594,336031,335909,276582,2009-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-05,192,monthly,280797,396470,334765,336270,275250,2009-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-06,260,monthly,279740,396443,335740,338000,274007,2009-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-07,359,monthly,271410,387817,328917,332411,265541,2009-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-08,299,monthly,263928,385056,325212,326899,257958,2009-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-09,304,monthly,271942,397439,335379,338302,265695,2009-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-10,258,monthly,289801,426100,358709,361877,283051,2009-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-11,367,monthly,306398,452641,378385,384130,299168,2009-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2009-12,434,monthly,304924,454688,379552,384577,297568,2009-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-01,263,monthly,304977,460773,384382,389817,297278,2010-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-02,263,monthly,306989,467591,391302,394855,299073,2010-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-03,299,monthly,313882,477519,399512,402861,305870,2010-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-04,291,monthly,317206,480042,401455,404141,309317,2010-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-05,343,monthly,312681,475624,393548,397348,304981,2010-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-06,395,monthly,311135,476230,393858,398203,303273,2010-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-07,389,monthly,308377,479594,392435,397791,300365,2010-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-08,277,monthly,312037,485031,399262,404178,303810,2010-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-09,300,monthly,309656,482957,396555,401590,301457,2010-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-10,271,monthly,311788,481390,398046,401808,303707,2010-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-11,391,monthly,307598,475149,391837,394246,299772,2010-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-12,286,monthly,308267,477011,392556,394016,300496,2010-12-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-01,260,monthly,311115,482368,395074,397844,303264,2011-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-02,209,monthly,314624,486059,396849,400950,306804,2011-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-03,270,monthly,319745,494096,400965,406652,311872,2011-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-04,214,monthly,321563,496079,401408,407697,313746,2011-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-05,279,monthly,318504,488902,395881,402457,310873,2011-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-06,345,monthly,309720,473732,385263,391212,302310,2011-06-01
